epoch,Training Loss,Valid. Loss,Valid. Accur.,Training Time,Validation Time
1,0.7178544247172157,0.6913223969439666,0.7975640190972223,11:32:35,0:57:58
2,0.6879067286503566,0.6856963859560589,0.7984555844907407,11:45:29,0:54:26
3,0.678521009768071,0.6806871733938654,0.7993344907407407,11:12:54,0:55:44
4,0.67286699796816,0.6789879503039022,0.8002459490740741,11:28:46,1:00:38
5,0.6684975668139742,0.6783106420810024,0.8002785011574074,10:57:48,0:54:25
